DATE,Alte Pinakothek,Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsoper,Deutsches Museum,Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schack galerie,Lenbachhaus,Staatstheater am Gaertnerplatz,Tierpark Hellabrunn,AnzahlFall
2004-12-01,17210.0,4000.0,15114.0,11436.97475,61646.0,800.0,0.0,0.0,14084.5,7473.0,59242.3,12694.0,38497.0,123000.0,69843.0,28717.0,36039.0,32150.7,19003.9,550.0,8255.0,21576.8,16898.0,0.0
2005-01-01,14496.0,50.0,18263.0,3904.7,80920.0,10600.0,0.0,0.0,15856.3,8267.0,47042.9,21075.0,33788.0,44800.0,47636.0,39048.0,34546.0,9247.9,17430.6,585.0,10261.0,19195.6,35969.0,0.0
2005-02-01,11490.0,50.0,9617.0,5339.8,58831.0,2100.0,0.0,0.0,13949.0,6387.0,46590.7,22826.0,32201.0,129400.0,192440.0,20835.0,32866.0,16041.6,17947.0,536.0,11354.0,13559.1,15273.0,0.0
2005-03-01,17063.0,20800.0,8952.0,2947.4,105207.0,500.0,0.0,0.0,17581.8,12080.0,50504.9,31669.0,34526.0,48200.0,153295.0,44693.0,36675.0,12251.3,20152.1,703.0,14434.0,14286.8,77438.0,0.0
2005-04-01,16743.0,3940.0,4859.0,4654.3,79480.0,8900.0,0.0,0.0,14976.8,9680.0,44155.2,21263.0,21912.0,71540.0,238575.0,47700.0,29970.0,20878.5,18522.6,565.0,11486.0,12343.8,84598.0,0.0
2005-05-01,16669.0,145450.0,5369.0,4429.2,106014.0,500.0,0.0,0.0,12277.5,12454.0,49400.9,19347.0,6150.0,17300.0,109242.0,56304.0,30115.0,2120.8,17870.3,437.0,11818.0,13350.2,120469.0,0.0
2005-06-01,16905.0,79120.0,7657.0,748.3,71074.0,2050.0,0.0,0.0,15112.8,8458.0,28709.9,17846.0,5670.0,29500.0,52213.0,47051.0,29399.0,9710.4,18197.1,506.0,18035.0,13947.7,61978.0,0.0
2005-07-01,23142.0,121860.0,28659.0,5291.8,135045.0,57396.03004,0.0,0.0,15868.1,11929.0,65181.1,22849.0,7217.0,57396.03004,62185.0,64629.0,42120.0,18803.15487,13860.7,501.0,24011.0,14809.2,103450.0,0.0
2005-08-01,25306.0,320540.0,8775.0,11436.97475,169640.0,57396.03004,0.0,0.0,18842.159669999997,7618.0,18822.57375,22345.0,5542.0,10000.0,97940.0,81562.0,41457.0,13332.8,18793.47798,603.0,29514.0,18774.39386,159780.0,0.0
2005-09-01,13592.0,16840.0,5254.0,11436.97475,66418.0,8700.0,0.0,0.0,3458.3,6459.0,18822.57375,11502.0,14629.0,15.0,14855.0,49200.0,20951.0,5810.4,18793.47798,333.0,31166.0,5630.5,83458.0,0.0
2005-10-01,21383.0,50550.0,16571.0,4494.6,93926.0,57396.03004,0.0,0.0,13755.6,9867.0,25491.8,22707.0,26266.0,92400.0,45282.0,56062.0,40536.0,18352.1,13697.6,2849.0,70710.0,14383.3,85963.0,0.0
2005-11-01,13756.0,9270.0,10017.0,5026.8,56327.0,800.0,0.0,0.0,14329.9,7872.0,49064.7,11480.0,27329.0,100930.0,6751.0,22712.0,30686.0,22305.6,18967.8,485.0,80157.0,17958.1,30419.0,0.0
2005-12-01,17410.0,13120.0,17623.0,4457.8,58147.0,57396.03004,0.0,0.0,18067.1,10526.0,51993.6,12326.0,39988.0,112200.0,61959.0,26133.0,23781.0,31559.2,19025.5,292.0,86169.0,23788.5,14064.0,0.0
2006-01-01,22009.0,50.0,14000.0,1024.1,59370.0,8300.0,0.0,0.0,15634.4,15737.0,51088.5,12716.0,37012.0,49320.0,4438.0,20882.0,30301.0,18771.4,19813.5,448.0,45939.0,19869.9,21232.0,0.0
2006-02-01,19897.0,50.0,7998.0,8259.0,53805.0,1000.0,0.0,0.0,14210.2,12222.0,38282.9,10950.0,32050.0,152240.0,33417.0,21884.0,32097.0,29756.1,14674.5,820.0,8047.0,10735.6,20868.0,0.0
2006-03-01,18214.0,16270.0,7231.0,787.4,84276.0,600.0,0.0,0.0,15683.6,9822.0,50605.6,16327.0,32352.0,94800.0,6259.0,31613.0,37544.0,21164.2,13688.5,562.0,10582.0,8935.4,25339.0,0.0
2006-04-01,22871.0,30750.0,6391.0,7613.8,106502.0,57396.03004,0.0,0.0,12910.7,8318.0,38605.5,16655.0,19321.0,32900.0,18306.0,72340.0,36903.0,9358.7,18485.6,489.0,13288.0,11563.6,112315.0,0.0
2006-05-01,25749.0,25240.0,6566.0,5463.7,83455.0,11950.0,0.0,0.0,14752.3,8837.0,30504.5,3906.0,10090.0,68200.0,118845.0,59712.0,19319.0,9767.4,21953.2,538.0,12505.0,12455.5,84975.0,0.0
2006-06-01,15922.0,12170.0,5164.0,11436.97475,64070.0,57396.03004,0.0,0.0,14962.9,7440.0,28854.5,6026.0,7510.0,12400.0,51009.0,54017.0,18834.0,3640.8,18881.7,319.0,8013.0,13474.7,96116.0,0.0
