AUSPRAEGUNG,WERT,DATE
Prinzregententheater (Großes Haus),7440.0,2009-09-01
Prinzregententheater (Großes Haus),18081.0,2009-10-01
Prinzregententheater (Großes Haus),26829.0,2009-11-01
Prinzregententheater (Großes Haus),36454.0,2009-12-01
Prinzregententheater (Großes Haus),22010.0,2008-01-01
Prinzregententheater (Großes Haus),18350.0,2008-02-01
Prinzregententheater (Großes Haus),21352.0,2008-03-01
Prinzregententheater (Großes Haus),27605.0,2008-04-01
Prinzregententheater (Großes Haus),5620.0,2008-05-01
Prinzregententheater (Großes Haus),7920.0,2008-06-01
Prinzregententheater (Großes Haus),3754.0,2008-07-01
Prinzregententheater (Großes Haus),,2008-08-01
Prinzregententheater (Großes Haus),8595.0,2008-09-01
Prinzregententheater (Großes Haus),13893.0,2008-10-01
Prinzregententheater (Großes Haus),25626.0,2008-11-01
Prinzregententheater (Großes Haus),44110.0,2008-12-01
Prinzregententheater (Großes Haus),15236.0,2007-01-01
Prinzregententheater (Großes Haus),22743.0,2007-02-01
Prinzregententheater (Großes Haus),22075.0,2007-03-01
