DATE,Alte Pinakothek,Ausland (Tourismus),Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsorchester,Deutsches Museum,Inland (Tourismus),Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Philharmoniker,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schackgalerie,Schauburg - Theater fuer junges Publikum,Staedtische Galerie im Lenbachhaus,Theater am Gaertnerplatz,Tierpark Hellabrunn,Kinos
01/02/2005,11490,0,50,9617,5339.8,58831,0,2100,0,0,13949,15563.1,6387,46590.7,22826,32201,129400,192440,20835,32866,16041.6,17947,536,3287.4,11354,13559.1,15273,436739
01/03/2005,17063,0,20800,8952,2947.4,105207,0,500,0,0,17581.8,16948.6,12080,50504.9,31669,34526,48200,153295,44693,36675,12251.3,20152.1,703,4308,14434,14286.8,77438,486330
01/04/2005,16743,0,3940,4859,4654.3,79480,0,8900,0,0,14976.8,20704.3,9680,44155.2,21263,21912,71540,238575,47700,29970,20878.5,18522.6,565,4788.6,11486,12343.8,84598,311622
01/05/2005,16669,0,145450,5369,4429.2,106014,0,500,0,0,12277.5,26522.6,12454,49400.9,19347,6150,17300,109242,56304,30115,2120.8,17870.3,437,2554.3,11818,13350.2,120469,375257
01/06/2005,16905,0,79120,7657,748.3,71074,0,2050,0,0,15112.8,27592.1,8458,28709.9,17846,5670,29500,52213,47051,29399,9710.4,18197.1,506,5692.7,18035,13947.7,61978,300111
01/07/2005,23142,0,121860,28659,5291.8,135045,0,57396.03004,0,0,15868.1,11352.3,11929,65181.1,22849,7217,57396.03004,62185,64629,42120,18959.70111,13860.7,501,5019.3,24011,14809.2,103450,417653
01/08/2005,25306,0,320540,8775,11523.11961,169640,0,57396.03004,0,0,18979.50766,11498.17614,7618,18969.56682,22345,5542,10000,97940,81562,41457,13332.8,18949.8636,603,18940.11325,29514,18930.46492,159780,433000
01/09/2005,13592,0,16840,5254,11523.11961,66418,0,8700,0,0,3458.3,4221,6459,18969.56682,11502,14629,15,14855,49200,20951,5810.4,18949.8636,333,18940.11325,31166,5630.5,83458,255120
01/10/2005,21383,0,50550,16571,4494.6,93926,0,57396.03004,0,0,13755.6,25959.6,9867,25491.8,22707,26266,92400,45282,56062,40536,18352.1,13697.6,2849,3179.5,70710,14383.3,85963,380076
01/11/2005,13756,0,9270,10017,5026.8,56327,0,800,0,0,14329.9,17006.4,7872,49064.7,11480,27329,100930,6751,22712,30686,22305.6,18967.8,485,3837.3,80157,17958.1,30419,443425
01/12/2005,17410,0,13120,17623,4457.8,58147,0,57396.03004,0,0,18067.1,16888.4,10526,51993.6,12326,39988,112200,61959,26133,23781,31559.2,19025.5,292,3595,86169,23788.5,14064,383560
01/01/2006,22009,333962,50,14000,1024.1,59370,454397,8300,0,0,15634.4,21980.9,15737,51088.5,12716,37012,49320,4438,20882,30301,18771.4,19813.5,448,3958.4,45939,19869.9,21232,1266222
01/02/2006,19897,306407,50,7998,8259,53805,470445,1000,0,0,14210.2,27254,12222,38282.9,10950,32050,152240,33417,21884,32097,29756.1,14674.5,820,4439.7,8047,10735.6,20868,1211143
01/03/2006,18214,403819,16270,7231,787.4,84276,599051,600,0,0,15683.6,18139.9,9822,50605.6,16327,32352,94800,6259,31613,37544,21164.2,13688.5,562,3981.1,10582,8935.4,25339,1462023
