AUSPRAEGUNG,WERT,DATE
Bayerisches Staatsorchester,,2001-08-01
Bayerisches Staatsorchester,,2001-09-01
Bayerisches Staatsorchester,3810.0,2001-10-01
Bayerisches Staatsorchester,4765.0,2001-11-01
Bayerisches Staatsorchester,4049.0,2001-12-01
Bayerisches Staatsorchester,2879.0,2000-01-01
Bayerisches Staatsorchester,601.0,2000-02-01
Bayerisches Staatsorchester,4057.0,2000-03-01
Bayerisches Staatsorchester,4506.0,2000-04-01
Bayerisches Staatsorchester,481.0,2000-05-01
Bayerisches Staatsorchester,6055.0,2000-06-01
Bayerisches Staatsorchester,9257.0,2000-07-01
Bayerisches Staatsorchester,,2000-08-01
Bayerisches Staatsorchester,,2000-09-01
Bayerisches Staatsorchester,5133.0,2000-10-01
Bayerisches Staatsorchester,870.0,2000-11-01
Bayerisches Staatsorchester,3880.0,2000-12-01
Münchner Philharmoniker,14843.0,2020-01-01
Münchner Philharmoniker,21566.0,2020-02-01
Münchner Philharmoniker,0.0,2020-03-01
Münchner Philharmoniker,0.0,2020-04-01
Münchner Philharmoniker,0.0,2020-05-01
Münchner Philharmoniker,14213.0,2019-01-01
Münchner Philharmoniker,15241.0,2019-02-01
Münchner Philharmoniker,21687.0,2019-03-01
Münchner Philharmoniker,17448.0,2019-04-01
Münchner Philharmoniker,24575.0,2019-05-01
Münchner Philharmoniker,14199.0,2019-06-01
Münchner Philharmoniker,16756.0,2019-07-01
Münchner Philharmoniker,,2019-08-01
Münchner Philharmoniker,5598.0,2019-09-01
Münchner Philharmoniker,19786.0,2019-10-01
Münchner Philharmoniker,19326.0,2019-11-01
Münchner Philharmoniker,17260.0,2019-12-01
Münchner Philharmoniker,13351.0,2018-01-01
Münchner Philharmoniker,29183.0,2018-02-01
Münchner Philharmoniker,19581.0,2018-03-01
Münchner Philharmoniker,17906.0,2018-04-01
Münchner Philharmoniker,8589.0,2018-05-01
Münchner Philharmoniker,26049.0,2018-06-01
Münchner Philharmoniker,18698.0,2018-07-01
Münchner Philharmoniker,,2018-08-01
Münchner Philharmoniker,5884.0,2018-09-01
Münchner Philharmoniker,27413.0,2018-10-01
Münchner Philharmoniker,12735.0,2018-11-01
Münchner Philharmoniker,11028.0,2018-12-01
Münchner Philharmoniker,13730.0,2017-01-01
Münchner Philharmoniker,20406.0,2017-02-01
Münchner Philharmoniker,22283.0,2017-03-01
Münchner Philharmoniker,7331.0,2017-04-01
Münchner Philharmoniker,17042.0,2017-05-01
Münchner Philharmoniker,18265.0,2017-06-01
Münchner Philharmoniker,11583.0,2017-07-01
Münchner Philharmoniker,,2017-08-01
Münchner Philharmoniker,4410.0,2017-09-01
Münchner Philharmoniker,23412.0,2017-10-01
Münchner Philharmoniker,4045.0,2017-11-01
Münchner Philharmoniker,15110.0,2017-12-01
Münchner Philharmoniker,17974.0,2016-01-01
Münchner Philharmoniker,18203.0,2016-02-01
Münchner Philharmoniker,21412.0,2016-03-01
Münchner Philharmoniker,23154.0,2016-04-01
Münchner Philharmoniker,1101.0,2016-05-01
Münchner Philharmoniker,19710.0,2016-06-01
Münchner Philharmoniker,15892.0,2016-07-01
Münchner Philharmoniker,,2016-08-01
Münchner Philharmoniker,18131.0,2016-09-01
Münchner Philharmoniker,11831.0,2016-10-01
Münchner Philharmoniker,30128.0,2016-11-01
Münchner Philharmoniker,17624.0,2016-12-01
Münchner Philharmoniker,18443.0,2015-01-01
Münchner Philharmoniker,23885.0,2015-02-01
Münchner Philharmoniker,17453.0,2015-03-01
Münchner Philharmoniker,22668.0,2015-04-01
Münchner Philharmoniker,15455.0,2015-05-01
Münchner Philharmoniker,15689.0,2015-06-01
Münchner Philharmoniker,12167.0,2015-07-01
Münchner Philharmoniker,,2015-08-01
Münchner Philharmoniker,15585.0,2015-09-01
Münchner Philharmoniker,19195.0,2015-10-01
Münchner Philharmoniker,22845.0,2015-11-01
Münchner Philharmoniker,16802.0,2015-12-01
Münchner Philharmoniker,23062.0,2014-01-01
Münchner Philharmoniker,18565.0,2014-02-01
Münchner Philharmoniker,17400.0,2014-03-01
Münchner Philharmoniker,15490.0,2014-04-01
Münchner Philharmoniker,9157.0,2014-05-01
Münchner Philharmoniker,21454.0,2014-06-01
Münchner Philharmoniker,12395.0,2014-07-01
Münchner Philharmoniker,,2014-08-01
Münchner Philharmoniker,14080.0,2014-09-01
Münchner Philharmoniker,2586.0,2014-10-01
Münchner Philharmoniker,32451.0,2014-11-01
Münchner Philharmoniker,12720.0,2014-12-01
Münchner Philharmoniker,23160.0,2013-01-01
Münchner Philharmoniker,19664.0,2013-02-01
Münchner Philharmoniker,13754.0,2013-03-01
Münchner Philharmoniker,7088.0,2013-04-01
Münchner Philharmoniker,15241.0,2013-05-01
Münchner Philharmoniker,22493.0,2013-06-01
Münchner Philharmoniker,15079.0,2013-07-01
Münchner Philharmoniker,,2013-08-01
Münchner Philharmoniker,14219.0,2013-09-01
Münchner Philharmoniker,25836.0,2013-10-01
Münchner Philharmoniker,19050.0,2013-11-01
Münchner Philharmoniker,17704.0,2013-12-01
