date,title,text,rating,visitor_origin,visit
Erlebnisdatum: Dezember 2019,Tierpark?,"Ich war seit langer Zeit mal wieder im Tierpark. Seitdem hat sich viel getan. Aber nicht zum Vorteil der Tiere, die da leben. Mir sind vor allem die ganzen Restaurants, Cafes, Snackbars und Spielplätze aufgefallen. Ein Tierpark sollte doch in erster Linie für Tiere sein. Er sollte ausreichend Platz für Tiere schaffen, so dass sie einigermaßen ""artgerecht"" leben können. Stattdessen wird das Geld für Restaurants und Spielplätze ausgegeben. Und dann heisst es wieder, dass der Tierpark keine Gelder hat, um für die Tiere entsprechende Gehege zu bauen. Das wäre nämlich dringend nötig, so veraltet wie es im Tierpark aussieht. Beim Aquarium z.B. hat sich seit ich es kenne, überhaupt nichts verändert. Aber für Spielplätze und Umbauten von Lokalen ist Geld genug da wie es scheint. Während die Tiere in kleinen Gehegen gehalten werden, gibt es riesige Spielmöglichkeiten für Kinder. Gibt es denn für Kinder nicht außerhalb des Tierparks genug Spielplätze? Ich habe nicht den Eindruck, dass der Tierpark noch ein Platz für Tiere ist. Und ich kann mir auch nicht vorstellen, dass das Geschrei der Kinder von den diversen Spielplätzen die Tiere nicht stört. Darum sieht man wahrscheinlich auch  kaum Tiere in den Außengehegen. Ich zahle den Eintritt nicht, dass ich dann spielende Kinder sehe und auch nicht, dass dann davon Spielplätze und Restaurants gebaut werden. Dann spende ich das Geld lieber einem Tierschutzverein. Ich gehe jedenfalls nicht mehr in den Münchner Tierpark.",10,,
Erlebnisdatum: Dezember 2019,Sehr gut,"Nur zu empfehlen. Toller Tierpark, schön in die Natur eingebunden und eine abwechslungsreiche Artenvielfalt. Der Eintrittspreis ist dafür völlig ok.",50,"Waldkraiburg, Deutschland",Reiseart: als Paar
Erlebnisdatum: Dezember 2019,Ein beeindruckender Zoo,"Der große Münchener Tierpark wurde in den letzten Jahren immer wieder verschönert, neue Häuser und Areals gebaut. Es gibt ehrenamtliche Helfer/Betreuer, die herumgehen und mit den Besuchern ins Gespräch kommen. Sie erzählen dann interessante Details zu den Tieren und Gehegen und beeindrucken durch ihre freundliche Art.",50,,
Erlebnisdatum: September 2019,Immer wieder gerne,Pflichtprogramm beim München-Besuch. Einfach shön angelegter Tiergarten mit sauber angelegten Wegen und Gehegen. Schöner neuer Biergarten im neu angelegten Mühlendorf. Ansprechend gestaltet. Freundliches Personal. Faire Preise.,50,"Bedesbach, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Oktober 2019,Tierpark im Herbst,"Einfach nur traumhaft. Durch die neue Gestaltung des Tierparks mit vielen kleinen Freigehegen, Pflanzen und Natur, wirkt alles sehr natürlich und man kommt sich vor, als wenn man die Tiere ""entdeckt"" und nicht nur vor einem Käfig steht.Angenehm die diversen Lokalitäten mit Sitzgelegenheiten und vielseitigem Angebot.",50,,
Erlebnisdatum: Oktober 2019,Toller Familienausflug,"Hier war ich das letzte mal vor über 15 Jahren, da hat sich einiges getan. Ein richtig toller Zoo für die ganze Familie mit einer sehr großen Auswahl an Tieren. Der Eintrittspreis ist in Ordnung für das was geboten wird. Auch die Besucher verteilen sich schön über das Gelände. Toll finde ich den markierten Weg um einmal das kompeltte Gelände zu erkunden. Auch die Preise im Zoo halten sich im Rahmen, einziges Manko - man kann Karten zwar vorbestellen, aber nur am Postweg. Warum nicht wie überall anders zum selbstdrucken und direkt am Handy.Alles in allem ein sehr schöner Ausfug für die Familie, egal ob groß oder klein.",50,"Wals, Österreich",
Erlebnisdatum: November 2019,PKW Parkplatz,Sehr schöner Tierparkaber absolut schlechte Parkplätze in katastrophalen ZustandÜberall Tiefe Löcher,10,,Reiseart: mit der Familie
Erlebnisdatum: Oktober 2019,Immer wieder Schön,Wenn im Herbst die Blätter fallen ist es im Tierpark Hellabrunn doppelt schön. Ich würde die Fütterung der Robben empfehlen. Die Kinder hatten richtig Spaß und lachten richtig herzlich👍,50,"München, Deutschland",Reiseart: als Paar
Erlebnisdatum: August 2019,Eine reise wert.,"Wir waren zu zweit inkl.hund im tierpark.Eintritt 15 euro pro person, hund war frei soweit noch in erinnerung.Waren an einem sonntag im august bei fast 30 grad und sonnenschein während den sommerferien im zoo,daher viele familien mit kleinen kindern.Zoo ist absolut sehenswert und informativ.Für aquarianer top.man muss aber viel zeit mitbringen wenn man sich alles anschauen möchte.Preise für speisen und getränke sind für münchener verhältnisse standart.Haben etwas ausserhalb mit dem geparkt und sind entlang der isar zum zoo gelaufen.Gerne wieder,allerdings wenn keine ferien sind.",50,,Reiseart: als Paar
Erlebnisdatum: Oktober 2019,Sehr interessant,Nach einige Umbauten hat sich doch viel verändert  zb neues elefantenhaus  viele Tiere waren noch im Haus dadurch nur dort zu sehen,50,,
Erlebnisdatum: Mai 2019,"Einer der schönsten Zoos, die ich bislang gesehen habe","Der Eintritt in den Zoo ist zwar - wie bei den meisten - nicht ganz günstig, aber dafür wird auch viel geboten. Der Zoo ist sehr weitläufig, die Tiere haben große Gehege und alles wirkt sehr gepflegt. Es gibt eine große Tiervielfalt und man kann hier locker einen ganzen Tag verbringen, wenn man sich alle in Ruhe anschauen möchte. Der Zoo liegt direkt an der Isar. Hier ist ein sehr schöner Fuß- und Radweg, den man super für die An- und Abreise nutzen kann.",50,,
Erlebnisdatum: September 2019,Gemütlicher Ausflug,An unserem letzten Tag in München wollten wir noch was schönes erleben und sind zum Zoo gefahren. Parkplätze gegen Gebühr vorhanden. Die Dame an der Kasse war sehr patzig. 15 Euro pro Person fanden wir in Ordnung. Der Zoo ist sehr groß und weitläufig. Es gibt einen rundgang Führer das man alles sehen und erleben kann. Die Tiere haben sehr viel Platz und werden gut gehalten. Der Eisbär leider ohne Eis liegt halt am Klimawandel. Der Zoo ist sehr sauber und ordentlich gehalten.Das einzige was nervig war alles voll buggys. Buggy Land persönlich. Sollte verboten werden. Da es ja noch Böllerwägen gab. Das war zu viel des Guten.Im allgemeinen sehr sehenswert.,40,"Singen, Deutschland",Reiseart: als Paar
Erlebnisdatum: September 2019,Tiere schützen vor Menschen ! ,"Wir haben heute bei 25 grad Sonnenschein Hellabrunn besucht. Eintritt nicht gerade Familien freundlich und was man für über 30 Euro am Nachmittag geboten bekommt ist ein Wahnsinn. Heulende schreiende Kinder überfüllte Gehegen und Plätze. Restaurant , Eis, trinken steht schon im Vordergrund. Spielplatz und Belustigung für Kinder. Ist immernoch ein Tierpark, Zoo wo Menschen eher in Hintergrund stehen sollten. Polarwelten eine Enttäuschung , Aquarium mit innen verkratzen Scheiben eher uninteressant. Austausch mit Hagenbeck, Duisburg wäre super um sich zu verbessern. Trotz allem großes Danke Schön an die Mitarbeiter ! Ich frage mich sowieso was paar Monaten alten Kinder im Zoo zu suchen haben. Die gehören im Wald oder Park für die Eltern Ruhe und die Kinder frische Luft. Im Vergleich zum anderen Tierparks ist München sicherlich eher nicht sehenswert. Es würden sich Stadtverantwortliche gut tun zu überlegen wo all die Familien gehen sollen wenn sie Ihre Freizeit in München verbringen sollen.",20,"München, Deutschland",Reiseart: als Paar
Erlebnisdatum: September 2019,schöner Zoo,der Zio ist sehr nett und ich denke sehr gut geführt. was unheimlich stört ist das nicht nachhaltig in der gastronomie gearbeitet wird. überall nur Plastikflaschen. es ist nicht möglich alkoholfreie getränke ohne plastkflasche zu kaufen. das wäre billiger und umweltfreundlicher. sollte bei einem business welches von der Natur lebt bedacht werden. gruß Albert Ehrenreich,10,"Fließ, Österreich",Reiseart: mit der Familie
Erlebnisdatum: September 2019,Tierwelt,Hellabrun - ein schöner Tag dem man sich gönnt. Liebevoll gepfelgte Anlagen und Gehege für die vielen Tiere.Eune erlebniswekt für sich.,40,"Frankfurt am Main, Deutschland",
Erlebnisdatum: September 2019,"Schöner ""Zootag""",Ein Besuch im Tierpark Hellabrunn ist zu empfehlen. An Zeit sollte auf jeden Fall zwischen vier und fünf Stunden eingeplant werden. Der Eintrittspreis ist völlig in Ordnung. Schließlich fallen immense Kosten an. Die Auswahl und Anzahl der Tiere ist schön und ausreichend. Ebenfalls profitiert der Zoo von seiner Lage in der Stadt. Der natürliche Wasserlauf innerhalb des Zoos hat was. Kinder hatten ihren Spaß. Wir sind mit dem Auto angereist und haben auf P 1 für 4 Euro/Tag geparkt. P 1 und P 2 sind fussläufig ohne Probleme zu erreichen.,40,"Koblenz, Deutschland",Reiseart: als Paar
Erlebnisdatum: Mai 2019,Sehr schöner Zoo,Die symphatische Ubahn Werbung erinnert einen immer den schönen Zoo einmal wieder zu besuchen. Es ging grössere und spektakulärere Zoos. Hellabrunn ist aber auch einen Besuch wert.,40,"Zülpich, Deutschland",Reiseart: allein
Erlebnisdatum: August 2019,Toller Familienausflug mit Kind,"Wenn man mit einem Kleinkind unterwegs ist, sollte man sich, sofern man keinen Buggy mit hat, einen kleinen Bollerwagen an der Kassa für €5,- mieten.Bis 17:45 ist der dann wieder zurückzubringen.Fütterungszeiten sollte man sich raussuchen, da das sehr interessant ist, weil sich dann  auch etwas rührt. Unbedingt 6Std. einplanen. Man kann bei manchen Gehegen sitzen und essen und sich vom spazieren erholen.",40,"Salzburg, Österreich",
Erlebnisdatum: August 2019,Super Schön,Die Preise waren wirklich ok. Die Auswahl an den Tieren war Artenreich. Und die Tiere haben es echt schön dort. Wir waren begeistert.,50,"Wolfurt, Österreich",
Erlebnisdatum: Juni 2019,Überteuerter Spaziergang,"Obwohl dies auf der Webseite steht wurde uns mit der München Card kein Rabatt gewährt. Der Zoo ist groß und weitläufig. Meiner Meinung nach nur wenige Tiere, der Besuch lohnt sich für den Preis nicht wirklich, da es kaum etwas zu sehen gibt.",20,"Oberhausen, Deutschland",
Erlebnisdatum: Juni 2019,Ein Tierpakr für kleine und große Kinder,Mir der U Bahn sehr leicht zu erreichen . Der Tierpark ist in den letzten Jahren immer wieder erneuert worden und ist auch sein Eintritts Geld wert.,50,"München, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Juli 2019,Toller Zoo mit vielen Tieren,"So stelle ich mir einen Zoo vor, gepflegte Anlage, die Pfleger erzählen auch einiges zu den Tieren bei den Fütterungen. Schöne Infotafeln mit interessanten, Kompakten Informationen zu den Tieren. Eintrittspreise finde ich vollkommen okay.",50,,Reiseart: als Paar
Erlebnisdatum: Juli 2019,Tiere hautnah erleben,"Ein wunderbar erholsamer Tag im Tierpark Hellabrunn, sehr viel Grün, gepflegte Anlagen, hier kann man den ganzen Tag verbringen!",50,"Lappersdorf, Deutschland",Reiseart: allein
Erlebnisdatum: Juli 2019,Toller Tag im Zoo ,Es ist ein sehr toller Zoo. Die Tiere haben sehr viel Platz und die Zoo-Anlage ist gepflegt und sehr schattig.Gerade an warmen Tagen lohnt sich der Ausflug dahin.,50,"Norden, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: August 2018,Sehenswerter Zoo,"Ein sehr schöner Zoo mit gepflegten Tiergehegen. Man kann einen ganzen Tag hier verbringen weil es soviel zu entdecken gibt. Sehr kompakt aufgebaut und parkähnlich angelegt. Eintritt im Verhältnis absolut okay. Fazit, eine sehr schöne Anlage wo man viele Tiere bestaunen bzw. beobachten kann. Ich war an einem Donnerstag hier, es war gut besucht aber nicht überlaufen.",50,"Ibbenbüren, Deutschland",Reiseart: als Paar
Erlebnisdatum: August 2018,Sehr interessant ,"Uns gefällt es immer wieder zu kommen. Sehr große Zoo, man kann hier ganze Tag verbringen. Ich finde für meiste Tiere gerecht Haltung, große Wiesen so das man nicht jedes Tier sehen kann außer man hat Glück. Wenn Sie München mit Kindern  besuchen dann ist es ein muss.",50,"Kempten, Deutschland",Reiseart: mit der Familie
Erlebnisdatum: Juli 2019,Toller Tag im Zoo! ,"War mit der Familie dort, 2 Kinder 7+10, verbrachten über 5h im Zoo! Die Zeit verging wie im Flug. Die Gliederung der Gehege sowie die Anordnung der Info Stationen mit den Spielplätzen ist super gelungen! Saubere Gehege - Gesunde und gepflegte Tiere. So macht Zoo Spaß!",50,"Innsbruck, Österreich",Reiseart: mit der Familie
Erlebnisdatum: Juli 2019,Toller Familientag,"Tja, was solll man sagemSchattiger Zoo, weitläufig und breite Wege, ideal für Rolli oder Kinderwagen, so dass es auch am Woichenende verläuft, Freundliches Personal, die auch Frasen beantworten (können), Die sanitären Einrichtugnen sind sauber, auch Nachmittags. Parken ums Eck für nur 4€ am Tag.Die Gastrobereiche werden gerade sehr aufwendig und freundlich neugestaltet, so z.B, der neue Taogarten mit europ. und asiat. Küche.Sofort wieder :-)",50,"Roding, Deutschland",Reiseart: mit der Familie
