MONATSZAHL,AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Besucher*innen,Bayerisches Staatsorchester,4693.0,3416.0,-2.21,37.38,4739.0,2002-04-01
Besucher*innen,Bayerisches Staatsorchester,1132.0,7146.0,-75.88,-84.16,4070.0,2002-05-01
Besucher*innen,Bayerisches Staatsorchester,4165.0,,267.93,,4080.0,2002-06-01
Besucher*innen,Bayerisches Staatsorchester,9471.0,7542.0,127.39,25.58,4273.0,2002-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2002-08-01
Besucher*innen,Bayerisches Staatsorchester,2026.0,,,,4068.0,2002-09-01
Besucher*innen,Bayerisches Staatsorchester,2723.0,3810.0,34.4,-28.53,3970.0,2002-10-01
Besucher*innen,Bayerisches Staatsorchester,5795.0,4765.0,112.82,21.62,4063.0,2002-11-01
Besucher*innen,Bayerisches Staatsorchester,6489.0,4049.0,11.98,60.26,4285.0,2002-12-01
Besucher*innen,Bayerisches Staatsorchester,5447.0,2879.0,40.39,89.2,4029.0,2001-01-01
Besucher*innen,Bayerisches Staatsorchester,4827.0,601.0,-11.38,703.16,4451.0,2001-02-01
Besucher*innen,Bayerisches Staatsorchester,4895.0,4057.0,1.41,20.66,4535.0,2001-03-01
Besucher*innen,Bayerisches Staatsorchester,3416.0,4506.0,-30.21,-24.19,4426.0,2001-04-01
Besucher*innen,Bayerisches Staatsorchester,7146.0,481.0,109.19,1385.65,5093.0,2001-05-01
Besucher*innen,Bayerisches Staatsorchester,,6055.0,,,,2001-06-01
Besucher*innen,Bayerisches Staatsorchester,7542.0,9257.0,,-18.53,4795.0,2001-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2001-08-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2001-09-01
Besucher*innen,Bayerisches Staatsorchester,3810.0,5133.0,,-25.77,4648.0,2001-10-01
Besucher*innen,Bayerisches Staatsorchester,4765.0,870.0,25.07,447.7,5081.0,2001-11-01
Besucher*innen,Bayerisches Staatsorchester,4049.0,3880.0,-15.03,4.36,5100.0,2001-12-01
Besucher*innen,Bayerisches Staatsorchester,2879.0,,,,2879.0,2000-01-01
Besucher*innen,Bayerisches Staatsorchester,601.0,,-79.12,,1740.0,2000-02-01
Besucher*innen,Bayerisches Staatsorchester,4057.0,,575.04,,2512.0,2000-03-01
Besucher*innen,Bayerisches Staatsorchester,4506.0,,11.07,,3011.0,2000-04-01
Besucher*innen,Bayerisches Staatsorchester,481.0,,-89.33,,2505.0,2000-05-01
Besucher*innen,Bayerisches Staatsorchester,6055.0,,1158.84,,3097.0,2000-06-01
Besucher*innen,Bayerisches Staatsorchester,9257.0,,52.88,,3977.0,2000-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2000-08-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2000-09-01
Besucher*innen,Bayerisches Staatsorchester,5133.0,,,,4121.0,2000-10-01
Besucher*innen,Bayerisches Staatsorchester,870.0,,-83.05,,3760.0,2000-11-01
Besucher*innen,Bayerisches Staatsorchester,3880.0,,345.98,,3772.0,2000-12-01
Besucher*innen,Münchner Philharmoniker,14843.0,14213.0,-14.0,4.43,16974.0,2020-01-01
Besucher*innen,Münchner Philharmoniker,21566.0,15241.0,45.29,41.5,17549.0,2020-02-01
Besucher*innen,Münchner Philharmoniker,0.0,21687.0,,,,2020-03-01
Besucher*innen,Münchner Philharmoniker,0.0,17448.0,,,,2020-04-01
Besucher*innen,Münchner Philharmoniker,0.0,24575.0,,,,2020-05-01
Besucher*innen,Münchner Philharmoniker,14213.0,13351.0,28.88,6.46,17389.0,2019-01-01
Besucher*innen,Münchner Philharmoniker,15241.0,29183.0,7.23,-47.77,16122.0,2019-02-01
Besucher*innen,Münchner Philharmoniker,21687.0,19581.0,42.29,10.76,16313.0,2019-03-01
Besucher*innen,Münchner Philharmoniker,17448.0,17906.0,-19.55,-2.56,16271.0,2019-04-01
Besucher*innen,Münchner Philharmoniker,24575.0,8589.0,40.85,186.12,17725.0,2019-05-01
Besucher*innen,Münchner Philharmoniker,14199.0,26049.0,-42.22,-45.49,16647.0,2019-06-01
Besucher*innen,Münchner Philharmoniker,16756.0,18698.0,18.01,-10.39,16471.0,2019-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2019-08-01
Besucher*innen,Münchner Philharmoniker,5598.0,5884.0,,-4.86,16445.0,2019-09-01
Besucher*innen,Münchner Philharmoniker,19786.0,27413.0,253.45,-27.82,15751.0,2019-10-01
Besucher*innen,Münchner Philharmoniker,19326.0,12735.0,-2.32,51.76,16351.0,2019-11-01
Besucher*innen,Münchner Philharmoniker,17260.0,11028.0,-10.69,56.51,16917.0,2019-12-01
Besucher*innen,Münchner Philharmoniker,13351.0,13730.0,-11.64,-2.76,14294.0,2018-01-01
Besucher*innen,Münchner Philharmoniker,29183.0,20406.0,118.58,43.01,15092.0,2018-02-01
Besucher*innen,Münchner Philharmoniker,19581.0,22283.0,-32.9,-12.13,14847.0,2018-03-01
Besucher*innen,Münchner Philharmoniker,17906.0,7331.0,-8.55,144.25,15808.0,2018-04-01
Besucher*innen,Münchner Philharmoniker,8589.0,17042.0,-52.03,-49.6,15040.0,2018-05-01
Besucher*innen,Münchner Philharmoniker,26049.0,18265.0,203.28,42.62,15747.0,2018-06-01
Besucher*innen,Münchner Philharmoniker,18698.0,11583.0,-28.22,61.43,16394.0,2018-07-01
Besucher*innen,Münchner Philharmoniker,,,,,,2018-08-01
Besucher*innen,Münchner Philharmoniker,5884.0,4410.0,,33.42,16528.0,2018-09-01
Besucher*innen,Münchner Philharmoniker,27413.0,23412.0,365.89,17.09,16892.0,2018-10-01
Besucher*innen,Münchner Philharmoniker,12735.0,4045.0,-53.54,214.83,17682.0,2018-11-01
Besucher*innen,Münchner Philharmoniker,11028.0,15110.0,-13.4,-27.02,17311.0,2018-12-01
Besucher*innen,Münchner Philharmoniker,13730.0,17974.0,-22.09,-23.61,17356.0,2017-01-01
Besucher*innen,Münchner Philharmoniker,20406.0,18203.0,48.62,12.1,17556.0,2017-02-01
Besucher*innen,Münchner Philharmoniker,22283.0,21412.0,9.2,4.07,17635.0,2017-03-01
Besucher*innen,Münchner Philharmoniker,7331.0,23154.0,-67.1,-68.34,16197.0,2017-04-01
Besucher*innen,Münchner Philharmoniker,17042.0,1101.0,132.46,1447.87,17646.0,2017-05-01
Besucher*innen,Münchner Philharmoniker,18265.0,19710.0,7.18,-7.33,17515.0,2017-06-01
Besucher*innen,Münchner Philharmoniker,11583.0,15892.0,-36.58,-27.11,17123.0,2017-07-01
