AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Münchner Kammerspiele,13265.0,14095.0,803.61,-5.89,14237.0,2007-10-01
Münchner Kammerspiele,14436.0,14948.0,8.83,-3.43,14190.0,2007-11-01
Münchner Kammerspiele,16458.0,18361.0,14.01,-10.36,14017.0,2007-12-01
Münchner Kammerspiele,15517.0,15734.0,-13.49,-1.38,13977.0,2006-01-01
Münchner Kammerspiele,14092.0,13834.0,-9.18,1.86,14000.0,2006-02-01
Münchner Kammerspiele,15567.0,17455.0,10.47,-10.82,13828.0,2006-03-01
Münchner Kammerspiele,12806.0,14855.0,-17.74,-13.79,13642.0,2006-04-01
Münchner Kammerspiele,14630.0,12168.0,14.24,20.23,13866.0,2006-05-01
Münchner Kammerspiele,14849.0,14980.0,1.5,-0.87,13854.0,2006-06-01
Münchner Kammerspiele,11537.0,15749.0,-22.3,-26.74,13471.0,2006-07-01
Münchner Kammerspiele,,,,,,2006-08-01
Münchner Kammerspiele,1880.0,3386.0,,-44.48,13334.0,2006-09-01
Münchner Kammerspiele,14095.0,13645.0,649.73,3.3,13375.0,2006-10-01
Münchner Kammerspiele,14948.0,14217.0,6.05,5.14,13442.0,2006-11-01
Münchner Kammerspiele,18361.0,17936.0,22.83,2.37,13480.0,2006-12-01
Münchner Kammerspiele,15734.0,15088.0,12.67,4.28,12951.0,2005-01-01
Münchner Kammerspiele,13834.0,14685.0,-12.08,-5.8,12874.0,2005-02-01
Münchner Kammerspiele,17455.0,14497.0,26.17,20.4,13143.0,2005-03-01
Münchner Kammerspiele,14855.0,14221.0,-14.9,4.46,13201.0,2005-04-01
Münchner Kammerspiele,12168.0,12736.0,-18.09,-4.46,13149.0,2005-05-01
Münchner Kammerspiele,14980.0,14066.0,23.11,6.5,13232.0,2005-06-01
Münchner Kammerspiele,15749.0,12879.0,5.13,22.28,13493.0,2005-07-01
Münchner Kammerspiele,,,,,,2005-08-01
Münchner Kammerspiele,3386.0,689.0,,391.44,13738.0,2005-09-01
Münchner Kammerspiele,13645.0,15068.0,302.98,-9.44,13609.0,2005-10-01
Münchner Kammerspiele,14217.0,13926.0,4.19,2.09,13635.0,2005-11-01
