,id,full_text,location,part_of_s
841,1240959849019645952,"['finally', ',', 'shout', 'photographers', 'painfully', 'crowbarring', 'covid-19', 'easter…']","London, United Kingdom","[('finally', 'RB'), (',', ','), ('shout', 'NN'), ('photographers', 'NNS'), ('painfully', 'RB'), ('crowbarring', 'VBG'), ('covid-19', 'JJ'), ('easter…', 'NN')]"
842,1240959849560670208,"['absolute', 'embarra', '*', '*', 'ment', '.']","England, United States","[('absolute', 'JJ'), ('embarra', 'NN'), ('*', 'NNP'), ('*', 'NNP'), ('ment', 'NN'), ('.', '.')]"
843,1240959849879527424,"['retweet', ':', 'deaths', 'due', 'vaping', '-', '&', 'gt', ';', 'government', 'declares', 'crisis', ',', 'intervenes', ',', 'liberty', 'lost', '.', 'deaths', 'due', 'coronavirus', '-', '&', 'gt', ';', 'gov…']",Texas,"[('retweet', 'NN'), (':', ':'), ('deaths', 'NNS'), ('due', 'JJ'), ('vaping', 'VBG'), ('-', ':'), ('&', 'CC'), ('gt', 'NN'), (';', ':'), ('government', 'NN'), ('declares', 'VBZ'), ('crisis', 'NN'), (',', ','), ('intervenes', 'NNS'), (',', ','), ('liberty', 'NN'), ('lost', 'VBD'), ('.', '.'), ('deaths', 'NNS'), ('due', 'JJ'), ('coronavirus', 'SYM'), ('-', ':'), ('&', 'CC'), ('gt', 'NN'), (';', ':'), ('gov…', 'NN')]"
844,1240959857727070208,"['retweet', ':', 'national', 'basketball', 'a', '*', '*', 'ociation', 'player', ':', '*', 'gets', 'access', 'coronavirus', 'test', '*', 'senator', ':', '*', 'uses', 'inside', 'info', 'sell', 'stocks', 'market', 'crashes', '*', '…']","Marseille, France","[('retweet', 'NN'), (':', ':'), ('national', 'JJ'), ('basketball', 'NN'), ('a', 'DT'), ('*', 'JJ'), ('*', 'NN'), ('ociation', 'NN'), ('player', 'NN'), (':', ':'), ('*', 'JJ'), ('gets', 'VBZ'), ('access', 'NN'), ('coronavirus', 'NN'), ('test', 'NN'), ('*', 'NN'), ('senator', 'NN'), (':', ':'), ('*', 'JJ'), ('uses', 'NNS'), ('inside', 'IN'), ('info', 'JJ'), ('sell', 'NN'), ('stocks', 'NNS'), ('market', 'NN'), ('crashes', 'NNS'), ('*', 'VBP'), ('…', 'NN')]"
845,1240959858024894464,"['retweet', ':', '``', 'democrats', 'dangerously', 'intentionally', 'misled', 'american', 'people', 'coronavirus', 'readiness', ',', ""''"", 'later', 'tweeted.…']","Ash, United States","[('retweet', 'NN'), (':', ':'), ('``', '``'), ('democrats', 'NNS'), ('dangerously', 'RB'), ('intentionally', 'RB'), ('misled', 'JJ'), ('american', 'JJ'), ('people', 'NNS'), ('coronavirus', 'VBP'), ('readiness', 'NN'), (',', ','), (""''"", ""''""), ('later', 'RB'), ('tweeted.…', 'VB')]"
846,1240959858192441351,"['retweet', ':', 'money', 'used', 'destabilise', 'elected', 'govts', ',', 'welfare', 'people', '.', 'stimulus', 'package', 'cont…']",Gurugram British Indian Ocean Territory,"[('retweet', 'NN'), (':', ':'), ('money', 'NN'), ('used', 'VBN'), ('destabilise', 'RB'), ('elected', 'VBN'), ('govts', 'NN'), (',', ','), ('welfare', 'NN'), ('people', 'NNS'), ('.', '.'), ('stimulus', 'JJ'), ('package', 'NN'), ('cont…', 'NN')]"
847,1240959862508527616,"['retweet', ':', 'one', 'tweet', 'three', 'sources', '“', 'truth', '”', 'china', ',', 'new', 'york', 'times', ',', 'elon', 'musk', '.', 'so', ',', 'okay', ',', 'I', 'guess', 'everythi…']","Kingsport, United States","[('retweet', 'NN'), (':', ':'), ('one', 'CD'), ('tweet', 'NN'), ('three', 'CD'), ('sources', 'NNS'), ('“', 'VBP'), ('truth', 'NN'), ('”', 'JJ'), ('china', 'NN'), (',', ','), ('new', 'JJ'), ('york', 'NN'), ('times', 'NNS'), (',', ','), ('elon', 'NN'), ('musk', 'NN'), ('.', '.'), ('so', 'RB'), (',', ','), ('okay', 'PRP'), (',', ','), ('I', 'PRP'), ('guess', 'VBP'), ('everythi…', 'RB')]"
848,1240959863158644738,"['retweet', ':', 'message', ':', 'get', 'sick', ',', 'republicans', 'get', 'rich']","Vermont, Australia","[('retweet', 'NN'), (':', ':'), ('message', 'NN'), (':', ':'), ('get', 'VB'), ('sick', 'JJ'), (',', ','), ('republicans', 'NNPS'), ('get', 'VBP'), ('rich', 'JJ')]"
849,1240959866056949761,"['kill', 'corona', 'virus', 'home', ',', 'covid', 'dr', 'dan', 'lee', 'dimke', ',', 'phd', '.', 'hold', 'on', '...', 'via', 'worth', 'go.cant', 'harm', 'anymore']","Ireland, United States","[('kill', 'VB'), ('corona', 'JJ'), ('virus', 'NN'), ('home', 'NN'), (',', ','), ('covid', 'JJ'), ('dr', 'NN'), ('dan', 'NN'), ('lee', 'NN'), ('dimke', 'NN'), (',', ','), ('phd', 'NN'), ('.', '.'), ('hold', 'VB'), ('on', 'IN'), ('...', ':'), ('via', 'IN'), ('worth', 'NN'), ('go.cant', 'JJ'), ('harm', 'NN'), ('anymore', 'NN')]"
850,1240959866447040512,"['ani', ':', 'view', 'covid19', ',', 'union', 'public', 'service', 'commission', 'deferred', 'personality', 'tests', '(', 'interviewsConfusion', 'candidates', 'civil', 'services', '(', 'mainConfusion', 'exam', 'scheduled', 'march', 'rd', 'april', ',', 'orders', '.', 'new', 'dates', 'informed', '…']",New Delhi British Indian Ocean Territory,"[('ani', 'NNS'), (':', ':'), ('view', 'NN'), ('covid19', 'NN'), (',', ','), ('union', 'NN'), ('public', 'JJ'), ('service', 'NN'), ('commission', 'NN'), ('deferred', 'VBD'), ('personality', 'NN'), ('tests', 'NNS'), ('(', '('), ('interviewsConfusion', 'NN'), ('candidates', 'NNS'), ('civil', 'JJ'), ('services', 'NNS'), ('(', '('), ('mainConfusion', 'NN'), ('exam', 'RB'), ('scheduled', 'VBN'), ('march', 'NN'), ('rd', 'NN'), ('april', 'NN'), (',', ','), ('orders', 'NNS'), ('.', '.'), ('new', 'JJ'), ('dates', 'NNS'), ('informed', 'VBN'), ('…', 'NN')]"
851,1240959867004669957,"['retweet', ':', 'know', ':', 'according', 'new', 'study', ',', 'china', 'acted', 'weeks', 'earlier', 'did', ',', 'instead', 'lying', ',', 'number…']","Aurangabad, India","[('retweet', 'NN'), (':', ':'), ('know', 'NN'), (':', ':'), ('according', 'VBG'), ('new', 'JJ'), ('study', 'NN'), (',', ','), ('china', 'RB'), ('acted', 'VBD'), ('weeks', 'NNS'), ('earlier', 'RBR'), ('did', 'VBD'), (',', ','), ('instead', 'RB'), ('lying', 'VBG'), (',', ','), ('number…', 'NN')]"
